user_id,lr_score,n_posts,n_threads,n_threads_with_P_user,frac_threads_with_P_user,n_P_users_uid_reacted_to,n_P_users_who_reacted_to_uid,min_gap_sec_to_P_in_shared_thread,median_gap_sec_to_P_in_shared_thread,sample_thread_titles,longest_post_1,longest_post_2,longest_post_3,most_reacted_post_1,most_reacted_post_2
6975355,0.984,9,5,4,0.8,0,0,1136.0,13512.0,ประยุทธ์ จันทร์โอชา Prayut Chanocha พี่น้องประชาชนชาวไทยที่รักครับ | แล้วยังไงต่อ | มีใครเลือก พท. กก. คนละใบเหมือนผมไหมนิ แบบเชียร์ทั้งคู่ แล้วคิดกันยังไง กับสถาณการณ์ตอนนี้ | ข่าว ฉีกMOU เป็นฝ่ายค้าน เป็นละครตบตาการเมือง ดีลลับฮ่องกง นายสมชาย แสวงการ สมาชิกวุฒิสภาส.ว. รู้ทัน | พลิกปมการเมืองทักษิณ หักหลัง สมัคร สุนทรเวชถึงกลุ่มคนเสื้อแดง ล่าสุดหักหลังพรรคก้าวไกล อนาคตใครเป็นรายต่อไป,ประยุทธ์ จันทร์โอชา prayut chanocha พี่น้องประชาชนชาวไทยที่รักครับ ผมยังคงเฝ้าติดตาม ผลักดัน และกำกับดูแลแผนงานโครงการต่างๆ ที่ได้ริเริ่ม หรือสานต่อไว้ในทุกๆ เรื่องอย่างต่อเนื่อง และเสมอต้นเสมอปลาย โด…,ข่าว ฉีกmou เป็นฝ่ายค้าน เป็นละครตบตาการเมือง ดีลลับฮ่องกง นายสมชาย แสวงการ สมาชิกวุฒิสภาส.ว. รู้ทัน ดูละครโกหกการเมือง ฉีกmou อ้างสปิริตช่วยโหวตปิดสวิซต์สว ตบตาเป็นฝ่ายค้านเทียม ถอยรอจังหวะปรับครม แก…,พลิกปมการเมืองทักษิณ หักหลัง สมัคร สุนทรเวชถึงกลุ่มคนเสื้อแดง ล่าสุดหักหลังพรรคก้าวไกล อนาคตใครเป็นรายต่อไป เมื่อพลิกย้อนประวัติศาสตร์การเมืองไทย สภาพนอมินีแต่ละคนของทักษิณ มีจุดจบที่ไม่สวยเลย,ประยุทธ์ จันทร์โอชา prayut chanocha พี่น้องประชาชนชาวไทยที่รักครับ ผมยังคงเฝ้าติดตาม ผลักดัน และกำกับดูแลแผนงานโครงการต่างๆ ที่ได้ริเริ่ม หรือสานต่อไว้ในทุกๆ เรื่องอย่างต่อเนื่อง และเสมอต้นเสมอปลาย โด…,ข่าว ฉีกmou เป็นฝ่ายค้าน เป็นละครตบตาการเมือง ดีลลับฮ่องกง นายสมชาย แสวงการ สมาชิกวุฒิสภาส.ว. รู้ทัน ดูละครโกหกการเมือง ฉีกmou อ้างสปิริตช่วยโหวตปิดสวิซต์สว ตบตาเป็นฝ่ายค้านเทียม ถอยรอจังหวะปรับครม แก…
144086,0.96,26,12,12,1.0,0,1,44.0,2575.0,@@@ ดวงฤทธิ์ เพิ่งรู้ @@@ | @@@ หว่านพืชเช่นไร ได้ผลแบบนั้น @@@ | @@@ เวลาไหว้ ไม่ละอายใจ@@@ | @@@ จำคุกธาริต จิ้งจกเปลี่ยนสี @@@ | @@@@ กกต.มีมติส่งศาลรธน. @@@,สืบเนื่องจากการรีทวิตข้อความถึงเทย์เลอร์ สวิฟ์ต ของนายพิธา ลิ้มเจริญรัตน์ นายดวงฤทธิ์ บุนนาค แกนนำกลุ่ม care คิดเคลื่อนไทย ได้ทวิตต์ข้อความเมื่อวันที่ 9 ก.ค. 66 เวลา 839 น. อธิบายถึงเหตุผลที่ศิลปินที่…,กกต.มีมติส่งศาลรธน. ด่วน‼️กกต.เชือด พิธาแล้ว มีมติส่งศาลรธน.ฟันพ้นส.ส. เหตุถือหุ้นitv พร้อมขอสั่งหยุดปฏิบัติหน้าที่ ด้านสนง.ยื่นคำร้องทันที จับตาศาลรธน.อาจนำเข้าพิจารณาบ่ายนี้ วันนี้12ก.ค. ที่ประชุมกก…,นึกถึงคำพูด ปรีดี อีกแล้ว ก้าวไกลไม่ถอยค่ะ จากชัยธวัช นึกถึง คำพูดของปรีดี อีกแล้ว “เมื่อข้าพเจ้ามีอำนาจ ก็ไม่มีประสบการณ์ แต่เมื่อข้าพเจ้ามีประสบการณ์ ก็ไม่มีอำนาจ” —— มันไม่ใช่ “การถ่มน้ำลายรดฟ้า” แ…,คดีนี้สนุกกว่า,หว่านพืชเช่นไร ได้ผลแบบนั้น รอดูจุดจบของแดดดี้ และพรรคพวก แดงต้มแดง
6555645,0.96,155,67,59,0.881,21,7,18.0,2627.5,ไม่เข้าใจว่าทำไม ก้าวไกล ถึงไม่ดันแคนดิเดตนายกที่ไม่มีจุดอ่อน ที่จะเป็นปัญหาในภายหลังแบบนี้ | ถึงตอนนี้เห็นได้ชัดเลยว่ามีเพียงเพื่อไทยเท่านั้นที่เป็นเพื่อนแท้เพื่อนตายของก้าวไกลถ้าพิธาไม่ได้เป็นนายกก็ฝากให้เพื่อไทย | ถ้าท่านเป็นก้าวไกลจะทำไงต่อดีครับ จะยื้อโหวตอีกหลายรอบมั๊ยครับ หรือปล่อยให้เพื่อไทยซะที | สุเทพ สนธิ จำลองและอภิสิทธิ์ดูไว้ เกิดเป็นคนต้องรักษาสัจจะ | ว่าที่นายก คุณพิธา จะเดินสายพบปะพี่น้องประชาชนอีกไหมครับ,ทำหนึ่งนโยบายเพื่อไม่ได้ทำอีก 299 นโยบาย หรือว่าทำ 299 นโยบายเพื่อไม่ได้ทำ 1 นโยบาย น่าจะคิดกันได้นะ จริงๆถ้า 1 นโยบายนั้นมันสำคัญจริงๆ ผมอาจจะยึด 1 นโยบายยอมสละ 299 นโยบาย แต่ที่คุณมั่นใจว่า 1 นโยบาย…,ใจเขา ใจเรา ถ้าเป็นเราก็อาจจะทำใจยอมรับได้ยากนะ โอกาสจะได้เป็นนายก มันแค่เอื้อมเอง แต่สุดท้ายก็ไม่ได้ ใจเขา ใจเรา ใจของมนุษย์ปุธุชน ให้เวลาพิธาทำใจ แฟนคลับส้มทำใจ กันอีกสักสัปดาห์ แต่อย่าลืมว่าประเทศไ…,ถ้าดูจากการแสดงความเห็นจริงๆข้างนอก จะบอกว่านี่คือเป้าหมายเบอร์ต้นๆเลยครับ แต่พวกเขามีเป้าหมายสุดท้ายคือการเปลี่ยนแปลงสังคมไปเลยนะ มองว่าสถาบันคือขวากหนามอันนึงที่จะกันไม่ให้พวกเขาไปถึงเป้าหมายสุดท้าย…,แม่ผมเลือกก้าวไกลเพราะเงินผู้ชรา 3000 ถามแม่ว่าเลือกตั้งใหม่จะเลือกก้าวไกลไหมแม่บอกไม่เลือกแล้วพรรคนี้มันบ้าเรื่องสถาบัน คือแม่ก็งงทำไมไม่ถอยเรื่อง 112 จะได้ทำเรื่องสารพัดเรื่องรวมทั้งเงินชรา 3000 นี้…,ขอร้องเลยนะครับ สมาชิกห้องราชดำเนินที่ชอบโพสรูปติดกันเป็นแผง ช่วยโพสแค่รูปเดียวเถอะครับ มันรบกวนท่านอื่นๆจริงๆครับ คือ ถ้าสมาชิกท่านอื่นๆรำคาญท่าน แล้วท่านจะได้ประโยชน์อะไรล่ะครับ ถ้ามีคนเบื่อการกระทำ…
7412586,0.947,8,4,3,0.75,0,2,485.0,47477.5,ลูงตู่สร้างความเจริญให้ประเทศไทย | ไทม์ไลน์เรื่องหนี้ IMF นายกฯประยุทธ์ ให้ IMF กู้เงินจากไทย เป็นจำนวน 41508.51 ล้านบาท | ทักษิณ IMF | จตุพร จี้ ส.ว. เอาไง อุ๊งอิ๊ง เศรษฐา หนุนแก้ 112 ทักษิณ ไม่กล้าเขี่ย ก้าวไกล,ไทม์ไลน์เรื่องหนี้ imf นายกฯประยุทธ์ ให้ imf กู้เงินจากไทย เป็นจำนวน 41508.51 ล้านบาท imf ระบุว่า ไทยเป็นประเทศที่มีอัตราการว่างงาน ต่ำที่สุดในโลก ทั้งในปี 2565 และ คาดว่า 2566 ด้วย เพียง 1 ขณะที่ค่าเ…,ไหนๆ ก็มาขนาดนี้แล้ว ต่อให้อีกนิดนึงครับ 4. หลังจากทักษิณหนีไปนอกประเทศ ปูก็ทำเศรษฐกิจไทยเละด้วยนโยบายจำนำข้าวและค่าแรง 5. ประยุทธ์เข้ามาเช็ดขี้ที่ปูทำไว้ และทำได้ถึงขั้นกลายเป็นเจ้าหนี้ imf แทนด้วยกา…,ไหนๆก็พูดแล้ว ไทม์ไลน์ของเรื่องคือ 1. ฟองสบู่แตกยุคบิ๊กจิ๋ว ทักษิณรวยขึ้นมาแบบมหาศาลในตอนนั้น 2. ชวนเข้ามาแก้ปัญหา และฟื้นฟูประเทศ ด้วยนโยบายรัดเข็มขัด และกู้เงิน imf จำนวน 17200 ล้านเหรียญสหรัฐ ราว 6…,ลูงตู่สร้างความเจริญให้ประเทศไทย landmark แห่งใหม่ รถไฟทางคู่ มาบกะเบาชุมทางถนนจิระ,ไทม์ไลน์เรื่องหนี้ imf ของประเทศไทย ประเทศไทยเราก็ใช้หนี้ imf ก่อนกำหนด 2 ปีจริง แต่ใช้หนี้ด้วยวิธีการไปกู้เงินดอกเบี้ยสูงมาโปะหนี้ imf ที่ดอกเบี้ยต่ำกว่า ถ้าภาษาสุภาพเราจะเรียกวิธีการแก้ปัญหาแบบนี้ว่…
238160,0.939,47,19,17,0.895,4,1,56.0,6223.0,ลุงตู่วางมือ แต่ Last Boss ตัวจริงคือลุงป้อม | ส.ส.งูเห่าต่อไปจะยังไง | 13 ก.ค.2566 ภาวนาให้คุณพิธาได้นายก วันเริ่มต้นการสิ้นสุดของพวกโกงกินสิ้นชาติรีดไถปล้นเอารัดเอาเปรียบประชาชน | และแล้ว เมืองไทยก็มีนายกฯหญิงจากชินวัตรถึง 2 คน ก่อนตระกูลใด ๆ | จะเกิดอะไรขึ้นกับ กกต. ไหม,คุณเชื่อเหรอว่าลุงตู่แกวางมือจริง ผมคนนึงละที่ไม่เชื่อ อย่าลืมว่าแกยังเป็นนายกรักษาการอยู่ และยังมีอำนาจเต็มในการจัดการผู้ที่เห็นต่างด้วยอำนาจล้นฟ้าในมือ การแสร้งออกข่าวว่าจะวางมือ ก็เพราะส่วนหนึ่งแพ้…,เพื่อไทยบอกว่าไม่ร่วมนั่นถูกแล้วครับ เพราะร่วมเมื่อไหร่ก็คือเดินลงเหวทั้งพรรค แต่งูเห่าที่ซ่อนอยู่ในพรรคอาจไม่ได้คิดแบบนั้น โดยเฉพาะพวกย้ายมาเป็น 10 พรรคแล้วนั่นหละตัวดี พวกนี้ไม่สนอุดมการใดๆ เงิน อำน…,ที่จริงต้องการคอมเม้นท์ก็แฟรงส์ๆเลยครับ อย่าเป็นอีแอบ นี่ดีว่าผมเข้าอ่านเลยเจอการพาดพิง ก็ต้องตอบตามมารยาทครับ ในเมื่อคุณเขียนถึงผม แต่ที่จริงถ้าคุยกันดีๆไม่เสียดสีหรือพาดพิงทางลบ ผมก็คุยดีด้วยนะ ถึงเ…,กกต. คงเจอทั้งขู่ทั้งปลอบจากบรรดาผู้สูงวัยทั้งหลาย จนยอมกดปุ่มระเบิดพลีชีพจนได้ แต่คงเชื่อมั่นในอำนาจมืดที่มีมากพอ ไม่น่าจะเป็นปัญหาใดๆ คดีทั้งหมดของก้าวไกลคงถูกยกคำร้องทั้งหมดอย่างแน่นอน การเมืองไทยม…,ผมแนะนำให้คุณไปอ่านกระทู้ที่ผมตั้งไว้ ค่อยอ่านๆทีละบรรทัด ทั้ง 2 ตอน จะย้อนไปกระทู้อื่นๆก็ได้ แล้วจะเข้าใจภาวะการเมืองไทยได้ดีขึ้นครับ devide and rule ยุทธการแก้เกมส์ของฝั่งอนุรักษ์นิยม กลยุทธทางรอดขอ…
7382498,0.927,49,30,22,0.733,0,3,91.0,4758.0,อัปเดตอีกหนึ่งผลงาน รัฐบาลนายกฯ ลุงตู่ ดีที่สุดในประวัติศาสตร์การเมืองประเทศไทย | เอาภูมิใจไทยเข้ามาก็จบไหม ยอมเรื่องกัญชาอย่างเดียว | ไม่น่าเชื่อว่า คนในพันทิป นิยมเผด็จการ ไม่ยอมรับผลการเลือกตั้ง เห็นผิดเป็นชอบ | ศาลรธน.รับคำร้องปม “พิธาก้าวไกล” ใช้สิทธิหรือเสรีภาพเพื่อล้มล้างการปกครองระบอบประชาธิปไตย | ศาลรัฐธรรมนูญมีมติเสียงข้างมาก 7 ต่อ 2 มีคำสั่งให้นายพิธาหยุดปฏิบัติหน้าที่ส.สตั้งแต่วันที่ 19 ก.ค 2566,โครงการรถไฟฟ้าสายสีม่วง ช่วงเตาปูน ราษฎร์บูรณะ วงแหวนกาญจนาภิเษก เป็นโครงการตามแผนแม่บทระบบขนส่งมวลชนทางรางในเขตกรุงเทพมหานครและปริมณฑล เชื่อมต่อกับรถไฟฟ้ามหานครสายฉลองรัชธรรม เพื่ออำนวยดวามสะดวกด้านก…,เอาเรื่องการให้ท้ายเด็กเป็นส่วนหนึ่งของคำปราศรัยเพื่อเรียกหาการสนับสนุนจากเด็กที่ขาดวุฒิภาวะ หลงใหลคำชมที่กระตุ้นการทำเลว เมื่อเด็กๆโดนคดี ก็จะมี สส. ของพรรคไปประกันตัว ทั้งหมดนี้เป็นการสนับสนุนด้อมขอ…,เรื่องนี้ดูใหญ่มาก แต่อยากได้คำตอบ ใครสนับสนุนเงินทุน พรรคก้าวไกล นักเคลื่อนไหว ยกเลิก112 ไปทำอะไรกันที่ฝรั่งเศส ใครสนับสนุนเงินทุนในการจัดสัมมนาครั้งนี้ คนเข้าร่วมส่วนใหญ่เป็นคนไทย หลายคน ปัจจุบันลี้…,เจ๊จุก แฉต่อรัว ๆ ข้อมูลกลุ่มทุนต่างชาติหนุนหลังโรมพรคคก้าวไกล กดอ่านข่าวที่,เรื่องนี้ดูใหญ่มาก แต่อยากได้คำตอบ ใครสนับสนุนเงินทุน พรรคก้าวไกล นักเคลื่อนไหว ยกเลิก112 ไปทำอะไรกันที่ฝรั่งเศส ใครสนับสนุนเงินทุนในการจัดสัมมนาครั้งนี้ คนเข้าร่วมส่วนใหญ่เป็นคนไทย หลายคน ปัจจุบันลี้…
597013,0.909,68,39,31,0.795,0,5,3.0,9837.0,13 ก.ค.2566 ภาวนาให้คุณพิธาได้นายก วันเริ่มต้นการสิ้นสุดของพวกโกงกินสิ้นชาติรีดไถปล้นเอารัดเอาเปรียบประชาชน | ไม่เกิน 12 ครั้งคุณพิธาเป็นนายกรัฐมนตรีคนที่ 30 ของประเทศไทยครับ สู้ๆครับ | ก้าวไกลควรประกาศเชิดชูเกียรติหรือมอบเหรียญให้แด่ 13 สว. และ | เขาอุตส่าห์อธิบายปากเปื่อยปากแฉะก็ไม่ฟังกัน | แก่แล้วควรทำอะไรกันดีในทางการเมือง,ฉากทัศน์ผมหัวดื้อรั้นอยากเป็นนายกให้ได้ ผมเป็นโรคหัวใจตามประสาคนแก่นะครับ เวลาลุกแล้วเดินไป 4 5 ก้าวก็ต้องหาหลักอะไรก็ได้ที่จับเพื่อกันล้มลงเพราะความวูบนะครับ อยู่บ้านผมใส่เสื้อกุยเฮงและกางเกงจับหมู ก…,วันที่ 19 ก.ค.2566 วันที่จะได้เห็นธาตุแท้ของคนครับ 13 ก.ค.2566 เห็นมาครั้งหนึ่งแล้วนะครับ วันนี้จะได้เห็นอีกวันหนึ่ง หาดูยาก คนที่เลือกใครไว้ก็ดูเอาเองนะครับ แม้ประชาชนหลากหลายสาขาอาชีพจะกระหึ่มกึกก้อ…,เมื่อเห็นความรู้สึกของประชาชนคนอื่นที่รักความเป็นธรรมออกมาแสดงความรู้สึกถึงคนพาลทั้งปวง มีอีกเยอะมากนะครับ กระผมอายุใกล้เต็ม 63 ปีแล้ว เห็นกลุ่มทะลุวัง เห็น บก.ลายจุด จัดม๊อบ เห็นคุณพิธาทางด้านตะวันออ…,เมื่อเห็นความรู้สึกของประชาชนคนอื่นที่รักความเป็นธรรมออกมาแสดงความรู้สึกถึงคนพาลทั้งปวง มีอีกเยอะมากนะครับ กระผมอายุใกล้เต็ม 63 ปีแล้ว เห็นกลุ่มทะลุวัง เห็น บก.ลายจุด จัดม๊อบ เห็นคุณพิธาทางด้านตะวันออ…,เขาอุตส่าห์อธิบายปากเปื่อยปากแฉะก็ไม่ฟังกัน ขงเบ้งก้าวไกล กับ คุณ นายกพิธา อธิบายเรื่อง ม.112 ในรัฐสภาก็ไม่ฟังให้เข้าใจกัน คุณปิยบุตร ก็ยกเรื่องราวความเป็นมามาแจกแจงให้ฟังอย่างง่ายๆ ก็ไม่ฟังกันให้เข้า…
4090409,0.908,64,23,16,0.696,5,4,15.0,3161.0,มิติใหม่ของการแจกกล้วย แม้แต่ธรรมนัสและอนุทินยังอึ้ง | คนนี้น่าจะเป็นอธิบดีกรมพัฒนาฝีมือแรงงานได้นะครับ | โหวตอีกครั้งต่อไป ก้าวไกลต้องแจกกล้วย | ทัวร์ก้าวไกล จะลงโหนกระแสมั๊ย | แม่น ไม่แม่น,นายบรรยง พงษ์พานิช ประธานกรรมการบริหารและกรรมการ ธนาคารเกียรตินาคินภัทร หรือ kkp และในฐานะผู้เชี่ยวชาญทางด้านเศรษฐศาสตร์ประเทศไทย ได้โพสต์ข้อความในเฟซบุ๊กส่วนตัวในวันนี้ 14 ก.ค. 66 ระบุว่า . “มีผู้ใหญ…,ก้าวไกล อ่อนด้อยฝีมือการเมืองยิ่งนัก แต่สำคัญตัวผิดคิดว่า เก่งเกินใคร ที่แท้เด็กเพิ่งจะโต ชนะเลือกกตั้ง ยังไม่ถือว่า ประสบผลสำเร็จ การแทรกตัวมาเป็นฝ่ายรัฐบาลได้ต่างหาก คือความสำเร็จ ก้าวไกล เป็นรัฐบาล…,เกมการเลือกตั้ง ก้าวไกลสามารถพลิกชนะทักษิณ ได้ ่แต่ไม่สามารถครองอำนาจได้ ทักษิณและสมุนก็อดทนเฝ้ารอ จนกระทั่งสถานการณ์สุกงอม พลิกเกมได้ ก้าวไกลรู้เมื่อสาย หลังจากถูกดีดไปเป็นฝ่ายค้านแล้ว ป.ล. เกมการเมื…,พฤติกรรมพวก ด้อมส้ม ผมมองว่าคล้ายกับพวก red guard ของท่านประธานเหมานะครับ หากไม่ห้ามปรามเสียก่อน,ทำไมก้าวไกลต้องโหวตให้เพื่อไทย 1. เพื่อปิดสวิทซ์สว. ไม่ต้องอาศัยเสียงสว.ในการตั้งรัฐบาล 2. ดับความอหังการ์สว. 3. เล่นการเมืองแนวใหม่ 4. มองอนาคต 5. เห็นแก่ประเทศชาติและส่วนรวม 6. ผูกสัมพันธ์อันดีกับเพ…
7391562,0.904,16,8,8,1.0,0,2,656.0,7054.0,ถ้าเกิดว่าเพื่อไทยเป็นรัฐบาล เขาจะยกเลิกเกณฑ์ทหารไหม | อดีตนักศึกษาคณะรัฐศาสตร์ มหาวิทยาลัยธรรมศาสตร์ กล่าวว่า สมัยนี้กลายเป็น ‘เหยื่อ’ และ ‘หมากเบี้ยขุน’ | ถ้ายังจัดตั้งรัฐบาลไม่ได้ เงินชาวนาสิ้นปีนี้ยังได้เหมือนเดิมมั้ยครับ | พรรคก้าวไกล ติดหนี้ ปชช. 45.9 ล้านบาท เพราะทำสภาล่มถึง 11 ครั้ง เฉพาะพิธานายกว่าว โดดประชุมไป 56 ครั้ง | “วันนอร์” สั่งปิดประชุมสภาหนี หวั่นขัดอำนาจศาล หลัง โรม เสนอญัตติด่วนปมโหวตชื่อ พิธา ซ้ำ,มองการเมืองไทยแล้วหันไปมองบราซิล … การใช้โซเชียลมีเดียในทางการเมืองพิสูจน์ให้เห็นว่า ประชาธิปไตยภายใต้อัลกอริทึม คือประชาธิปไตยที่สามารถทำให้คนเดินดินธรรมดาๆที่ไม่มีใครรู้จักกลายเป็นดาวการเมืองเพียงชั…,อดีตนักศึกษาคณะรัฐศาสตร์ มหาวิทยาลัยธรรมศาสตร์ กล่าวว่า สมัยนี้กลายเป็น ‘เหยื่อ’ และ ‘หมากเบี้ยขุน’ นายนริศโรจน์ เฟื่องระบิล อดีตเอกอัครราชทูตไทย ณ กรุงบัวโนสไอเรส ประเทศอาร์เจนตินา อดีตนักศึกษาคณะรัฐ…,“วันนอร์” สั่งปิดประชุมสภาหนี หวั่นขัดอำนาจศาล หลัง โรม เสนอญัตติด่วนปมโหวตชื่อ พิธา ซ้ำ ประชุมรัฐสภาจบเร็วเกินคาด หลัง “โรม” ชงญัตติด่วน ให้ทบทวนมติ 19 ก.ค.ที่ห้ามเสนอชื่อ “พิธา” เป็นนายกฯ ซ้ำ “วันนอ…,อดีตนักศึกษาคณะรัฐศาสตร์ มหาวิทยาลัยธรรมศาสตร์ กล่าวว่า สมัยนี้กลายเป็น ‘เหยื่อ’ และ ‘หมากเบี้ยขุน’ นายนริศโรจน์ เฟื่องระบิล อดีตเอกอัครราชทูตไทย ณ กรุงบัวโนสไอเรส ประเทศอาร์เจนตินา อดีตนักศึกษาคณะรัฐ…,มองการเมืองไทยแล้วหันไปมองบราซิล … การใช้โซเชียลมีเดียในทางการเมืองพิสูจน์ให้เห็นว่า ประชาธิปไตยภายใต้อัลกอริทึม คือประชาธิปไตยที่สามารถทำให้คนเดินดินธรรมดาๆที่ไม่มีใครรู้จักกลายเป็นดาวการเมืองเพียงชั…
7668886,0.897,26,12,9,0.75,0,3,85.0,8166.0,ข่าวว่า เพื่อไทยทำคุณคนไม่ขึ้น | ถ้า ทักษิณ ไม่กลับไทย วันที่ 10 ส.ค.66 แกนนำ และ สส เพื่อไทย ทุกคน ที่บอกแก่ประชาชน จะรับผิดชอบยังไงที่หลอกลวงชาวโลก | กระผมมีความคิดว่า พวกด้อมส้มคืออดีตพันธมิตร เพราะดื้อดึง ดื้อด้าน ดื้อรั้นพอ ๆ กัน | รับงานมาป่าว | เพื่อไทยต้องไปแก้ไขปัญหาที่ก้าวไกลก่อไว้ที่ ระยอง,ข้อเท็จจริงที่พึงทราบก็คือ ปี 2562 เลือกตั้งครั้งที่แล้ว อภิสิทธิ์ได้มา 52 คน ถือว่าตกต่ำ ได้ต่ำกว่าเป้า เมื่อแพ้แล้วก็แสดงความรับผิดชอบด้วยการลาออก เลือกตั้งใหม่ได้คู่หูจุรินทร์ เฉลิมชัย พากันเข้าร่ว…,ผมไม่ทราบวา จขกท.เล่นพันทิพนานหรือยัง ถ้านานระดับ 10 ปีขึ้นไปคงรู้จักล็อกอิน ศรีขอนแก่น เขาเป็นพวกพันธมิตรตัวยง เขาเคยประกาศก้องทั่วพันทิพ ราชดำเนินว่า ถ้าพลังประชาชนได้ส.ส.ขอนแก่นยกจังหวัด เขาจะย้ายจ…,ในอดีต พวกพันธมิตรได้ประโยชน์จากทักษิณไทยรักไทยพอสมควร จากนโยบายต่างๆ แต่พวกนั้นเป็นคนอกตัญญู ไม่รู้คุณคน เชื่อลมปากศาสดาไล่ทักษิณเสียได้ ปัจจุบัน พวกก้าวไกลก็เช่นเดียวกัน เพื่อไทยอุตส่าห์ยกมือให้ 141…,ผมไม่ทราบวา จขกท.เล่นพันทิพนานหรือยัง ถ้านานระดับ 10 ปีขึ้นไปคงรู้จักล็อกอิน ศรีขอนแก่น เขาเป็นพวกพันธมิตรตัวยง เขาเคยประกาศก้องทั่วพันทิพ ราชดำเนินว่า ถ้าพลังประชาชนได้ส.ส.ขอนแก่นยกจังหวัด เขาจะย้ายจ…,ก้าวไกลยั่วยุให้ยุบพรรค เพื่อคราวหน้าจะได้ 250 เสียง
