feature_set,model,accuracy,precision,recall,f1,auc,cv_f1_mean,cv_f1_std
A: Lindsey 12 Dimensions,Random Forest,0.6110294117647059,0.39603960396039606,0.2575107296137339,0.31209362808842656,0.5129043408128583,0.34668687709011203,0.04939515656567556
A: Lindsey 12 Dimensions,Gradient Boosting,0.6147058823529412,0.409375,0.2811158798283262,0.3333333333333333,0.5159792032721722,0.3595462062321184,0.04756486678552526
A: Lindsey 12 Dimensions,Logistic Regression,0.6404411764705882,0.4559386973180077,0.2553648068669528,0.32737276478679506,0.5214076197060038,0.31391607383594805,0.034725029240655216
B: 19 Significant Terms,Random Forest,0.6330882352941176,0.4291845493562232,0.2145922746781116,0.2861230329041488,0.5203034536394273,0.31382146023511187,0.086259892404883
B: 19 Significant Terms,Gradient Boosting,0.6330882352941176,0.4291845493562232,0.2145922746781116,0.2861230329041488,0.5207955276473581,0.30811634918733305,0.0967023405397258
B: 19 Significant Terms,Logistic Regression,0.6286764705882353,0.42528735632183906,0.23819742489270387,0.30536451169188444,0.5449503605342243,0.28252815814877613,0.05263135529112197
C: Data-Driven N-grams (200),Random Forest,0.6551470588235294,0.49433962264150944,0.2811158798283262,0.35841313269493846,0.647234544075429,0.40246699978297523,0.05516310487490068
C: Data-Driven N-grams (200),Gradient Boosting,0.6426470588235295,0.47474747474747475,0.4034334763948498,0.4361948955916473,0.6511879386659754,0.43465293476925115,0.06029009913970014
C: Data-Driven N-grams (200),Logistic Regression,0.6404411764705882,0.47146401985111663,0.40772532188841204,0.4372842347525892,0.6523365114113163,0.4879377620352228,0.09857068074339921
D: Combined (terms + n-grams),Random Forest,0.6558823529411765,0.4963768115942029,0.2939914163090129,0.3692722371967655,0.6501881883035209,0.38892503541893253,0.04834658079855721
D: Combined (terms + n-grams),Gradient Boosting,0.6411764705882353,0.47150259067357514,0.3905579399141631,0.4272300469483568,0.640435521502434,0.4341047506273659,0.0562283806782325
D: Combined (terms + n-grams),Logistic Regression,0.6411764705882353,0.47393364928909953,0.4291845493562232,0.45045045045045046,0.6477470211519814,0.4907507951942641,0.09917356044270416
