feature_set,model,precision,recall,f1,acc,auc,cv_f1_mean,cv_f1_std
A: Karin-style (user-agg),DT,0.4418604651162791,0.18152866242038215,0.25733634311512416,0.6956521739130435,0.5330886321925942,0.25554055015220467,0.05358796580198829
A: Karin-style (user-agg),RF,0.5,0.06687898089171974,0.11797752808988764,0.7095282146160962,0.536055356712811,0.1264140934534136,0.021066814595799108
A: Karin-style (user-agg),NB,0.5544554455445545,0.17834394904458598,0.26987951807228916,0.7197039777983348,0.6106469909233592,0.3187039541572144,0.068665428985216
A: Karin-style (user-agg),SVM,0.4,0.3248407643312102,0.3585237258347979,0.6623496762257169,0.5804254312027172,0.3594277988078873,0.0711593767534209
A: Karin-style (user-agg),LR,0.43902439024390244,0.4012738853503185,0.4193011647254576,0.6771507863089732,0.6242142020777451,0.3657253697906611,0.0437303222540073
B: Lindsey behavioral,DT,0.4394904458598726,0.2197452229299363,0.2929936305732484,0.6919518963922294,0.5573995798005298,0.2480828465690627,0.0502457646640051
B: Lindsey behavioral,RF,0.48484848484848486,0.15286624203821655,0.2324455205811138,0.7067530064754857,0.6153576262882104,0.16878111018777334,0.05570249007283966
B: Lindsey behavioral,NB,0.5081967213114754,0.09872611464968153,0.16533333333333333,0.7104532839962997,0.6745426386201513,0.21708013681499608,0.046986549112792306
B: Lindsey behavioral,SVM,0.424390243902439,0.2770700636942675,0.3352601156069364,0.6808510638297872,0.6352859598568331,0.33040643493767485,0.060543819544495135
B: Lindsey behavioral,LR,0.45794392523364486,0.4681528662420382,0.462992125984252,0.6845513413506013,0.6724478695222514,0.3415245549379534,0.05700554655035474
C: Combined (A+B),DT,0.4968152866242038,0.2484076433121019,0.33121019108280253,0.7086031452358927,0.5792711283103166,0.24094075719221175,0.03988040440076953
C: Combined (A+B),RF,0.5060240963855421,0.1337579617834395,0.21158690176322417,0.7104532839962997,0.6375987178103124,0.16982575680795825,0.07621417256405316
C: Combined (A+B),NB,0.5684210526315789,0.17197452229299362,0.26405867970660146,0.7215541165587419,0.6806463265763707,0.2957456293672718,0.0552383870743629
C: Combined (A+B),SVM,0.453781512605042,0.34394904458598724,0.391304347826087,0.6891766882516188,0.6233630074988167,0.37989897051638255,0.056661687322274897
C: Combined (A+B),LR,0.44981412639405205,0.3853503184713376,0.41509433962264153,0.6845513413506013,0.6588682018618325,0.38394538806860296,0.04781748183806573
