cid,text,amp_prob
7094446713754714881,"fun fact
Leni use pink flag
bbm use Philippines flag",
7094399216679961345,yesss louderrrrr❤💚,
7094371390119805697,myyy heart huhu literally cried :(,
7094396517989466882,may God guide BBM for victory ❤️💚,
7094374962135646977,yesss!!!!!❤️❤️❤️✌️✌️💚💚💚🥰🥰🥰,
7094318079657018113,Lets Goo❤️💚,
7094306936048354049,❤💚,
7094397489943888642,Welcome back Marcoses ❤️💚,
7094308562851562241,Let's Gooo! excited n ko sa Victory Party,
7094398868238254850,BLOW THIS UP!!!!,
7094377211449033474,Marcos is our Hope of the Philippines🥰,
7094361188955374338,marcos is back ❤️💚,
7094402479433712385,"Praying for your victory, Pres. BBM 🙏",
7094294812274213633,No one can stop him!!!💚❤️,
7094365514058793730,Gods will 😇,
7094315331673637634,Lets gooooooooooooo💚,
7094266913932542722,Marcos is back🥰,
7094407916304352001,advance na nten victory party🥰,
7094405029825889025,"it should be ""*bark all you want, but Marcoses will return"" 😌",
7094297961433514753,gusto ko maranasan ang pamamahala ng isang matalinong marcos 💚✌❤,
7094376798775264002,hindi ka man nanalo bise presidente nuong 2016 ngaun 2022 sisguraduhin ng sambayanan pilipino na ikaw na ang magiging presidente nng PILIPINAS🥰,
7094365258105783041,BBM🥰🥰🥰,
7094273021799564033,"ilang araw nalang, vote wisely guys!!",
7094407598912865026,naiyak ako😭 marcos is back alam ko hindi nya tayu bibiguhin sir bbm malapit kanang manalo🥰,
7094377432564220673,kakaiyak 🥺❤️💚✌️,
7094267987322405634,More contents na ganito please❤,
7094383083277402881,andami ko naman immyday sa may 10 hahaha,
7094408231224623874,na iyak ako 😢 at na goosebumps🥺,
7094409681145332481,"Ramdam ramdam na!
Marcoses Return! 😁😁😁😁",
7094326184150549250,tapos nagbrownout,
7094391324455142146,@economikaa claim it!!,
7094272126756733697,MARK MY WORDS BBM WILL BE PRESIDENT IN MAY 9 KEEP PRAYING MANALO SIYA,
7094310955974492929,Kailangan paba ng botohan? hahahaha,
7094292617458041602,ANO LUZON HANDA NA BA sabayan nadin natin ng FACEPAINT NG KAGAYA KAY SARAH DUTERTE MAY 7,
7095112897412154113,Goosebumps…. Congratulations in advance Mr. President,
7095078034856231681,I was crying watching this..our country deserves him as our president.,
7095110950235505410,yes...next victory party na,
7095112304232088322,you made me so much to cry. We want you Apo BBM to lead us because we do believe in your capacity😭,
7095110996708426497,"my president and vice president, bbm sara.",
7095097001431843586,Congratulations in advance Mr .President🥺🎉🎉🎉❤️,
7095052808508310274,lets open our eyes po... see how he campaign. You never heard bad words from him. Just Positive thoughts for our country. 🥰🥰🥰 ♥️💚,
7095110613236138754,SOLID BBM AT SARA,
7095104646519702273,oh my God I was crying 😭😭❤️,
7095075546983383809,For the win!! Bbm sarah,
7095107087290008322,victory is waving❤️❤️❤️,
7095102790745457409,😭😭😭tears of joy 😭😭😭I'm praying for d victory ✌️👊,
7095047716384359169,🥺🥺🥺 congratulations in advance sir,
7095103704403395330,We know FEM is guiding you mr president 🥺,
7095098065757389570,nice Ms Toni g...uniteam,
7095077293533840129,So Proud of you Sir BBM and Ma'am SARA❤️💚✌️👊,
7095101738852008705,My new Mr. President and Vice President🥰❤️,
7095078849339327233,tears of joy,
7095105030511985410,So proud of you i m a marcos loyalist♥️♥️♥️congratulations in advance😘🙏,
7095110838948070145,"😭😭😭i was crying right now,so happy we deserve a leader like you our president bongbong marcos jr.😇🙏🏻🙌🏻",
