feature_set,model,accuracy,precision,recall,f1,auc,cv_f1_mean,cv_f1_std
A: Lindsey 12 Dimensions,Random Forest,0.6613813081262387,0.34934497816593885,0.03717472118959108,0.06719865602687947,0.5272993686961349,0.09069160128331821,0.018355572003160212
A: Lindsey 12 Dimensions,Gradient Boosting,0.6627534685165422,0.36486486486486486,0.03763940520446097,0.06823925863521482,0.5367163637099815,0.08125414732269079,0.020272014327284923
A: Lindsey 12 Dimensions,Logistic Regression,0.6702241195304163,0.3103448275862069,0.004182156133828996,0.008253094910591471,0.533807633681799,0.02989509251338342,0.025187142942910343
B: 19 Significant Terms,Random Forest,0.6650404025003811,0.3140495867768595,0.017657992565055763,0.03343598768147822,0.5251037446340436,0.07899534360870057,0.01132906390102321
B: 19 Significant Terms,Gradient Boosting,0.664430553438024,0.3689839572192513,0.032063197026022304,0.058999572466866185,0.5304755002813198,0.09965651106830911,0.027212545325687548
B: 19 Significant Terms,Logistic Regression,0.6647354779692026,0.32592592592592595,0.020446096654275093,0.038478355924792304,0.526585524634263,0.07146808819633574,0.016827487166598844
C: Data-Driven N-grams (200),Random Forest,0.6769324592163439,0.5921787709497207,0.04925650557620818,0.09094809094809095,0.5905667774232106,0.1370021483780696,0.02619931788943662
C: Data-Driven N-grams (200),Gradient Boosting,0.6723585912486659,0.5031185031185031,0.11245353159851301,0.18382073680212685,0.5988685624340458,0.23267291670080031,0.03222137383283212
C: Data-Driven N-grams (200),Logistic Regression,0.6728159780454338,0.5055555555555555,0.12685873605947956,0.20282317979197623,0.6043208232425096,0.254109536495318,0.04763334524343463
D: Combined (terms + n-grams),Random Forest,0.6772373837475225,0.5977653631284916,0.04972118959107807,0.09180609180609181,0.5863792437344104,0.12546269681848346,0.025506734890023478
D: Combined (terms + n-grams),Gradient Boosting,0.6674797987498094,0.4692144373673036,0.10269516728624535,0.16850934044986657,0.5942983788042511,0.2369613715770547,0.03168965353056866
D: Combined (terms + n-grams),Logistic Regression,0.6694618082024699,0.4864406779661017,0.133364312267658,0.20933625091174327,0.6042821786562945,0.26748643042712517,0.04894335082958997
