dimension,sock_mean,non_sock_mean,mean_diff,sock_nonzero_pct,non_sock_nonzero_pct,mann_whitney_p,effect_size,significant,discriminates
emoji_score,0.003424936801761396,0.009023218927611579,-0.005598282125850183,1.1%,3.1%,5.9287640048168955e-33,0.020523368113851137,True,False
political_score,0.11920082386043548,0.09947593166508781,0.019724892195347676,17.8%,15.5%,4.140364682441456e-09,-0.02445747860916292,True,False
attack_score,0.07703661420533311,0.05643036524650836,0.020606248958824756,12.0%,8.9%,1.1955420599318147e-20,-0.03136505640893272,True,False
emotional_score,0.04751692081872298,0.0565361060933163,-0.00901918527459332,10.2%,12.3%,6.84769827734255e-09,0.020810398077002024,True,False
low_effort_score,0.021919595531272935,0.02407366612327621,-0.0021540705920032738,2.7%,3.0%,0.1532409046504974,0.002692588240004068,False,False
coordination_score,0.002315909646905325,0.0027492620170066527,-0.00043335237010132775,0.6%,0.7%,0.22877038790044868,0.0010833809252532856,False,False
algorithmic_score,0.0005055859088314441,0.000912014803718553,-0.0004064288948871089,0.1%,0.1%,0.129617417114157,0.0005371940550802368,False,False
authenticity_score,0.0007828426975454621,0.0007754328765916201,7.4098209538420124e-06,0.1%,0.1%,0.9788560236640703,-9.262276192245622e-06,False,False
length_score,0.10658077142624153,0.1259153192051813,-0.019334547778939754,27.5%,32.4%,8.171073770565489e-22,0.049981430357791456,True,False
repetition_score,0.012721193835113756,0.0134687403621624,-0.0007475465270486443,4.2%,4.5%,0.278453193023974,0.002491821756828827,False,False
punctuation_score,0.010348201908179075,0.009106930431334537,0.0012412714768445382,2.8%,2.4%,0.007946126037908938,-0.004673188398926387,True,False
caps_score,0.0,0.0,0.0,0.0%,0.0%,1.0,0.0,False,False
