source,post_id,container_id,user_id,datetime,text,length,likes_received,replies_received,amp_prob,is_sockpuppet
pantip,0,42111000,pantip_7464651,2023-07-10 09:19:04,ก้าวไกลคือแบบอย่างการเมืองสุจริต ไม่ซื้อเสียงจัดตั้งมวลชน ทุกคนมาด้วยใจ ไม่มีบ้านใหญ่ ไม่มีมุ้ง ไม่แจกกล้วย พิธาควรเป็นนายกด้วยเหตุผลที่ว่า การเมืองสุจริต,154,3,,,1
pantip,2,42111000,pantip_7576977,2023-07-10 09:35:04,ขึ้น ค่าแรง 450 ทันที สูงอายุ 3000 ติดเตียง 10000 ลาคลอด 180 วัน คนเฮโล ได้เลือก พอได้รับเลือก เราเป็นพรรคร่วม ทำไม่ได้,119,2,,,1
pantip,7,42111000,pantip_7450328,2023-07-10 13:36:40,ปชป.แมงสาบ 2,12,0,,,1
pantip,8,42111000,pantip_4130679,2023-07-10 15:08:07,ก้าวไกลคือแบบอย่างการใช้ม๊อบบ่อนทำลายรัฐบาลเก่าในการชิงอำนาจ ก่อน 2566 ใครจะคิดอาศัย กองทัพio เฟคนิว ม๊อบผีบ้า จะสามารถชิงอำนาจปกครองได้ อนาคตการซื้อเสียงแบบเดิมๆจะถูก disruption เราจะเห็นการลงทุนทางด้านกองทัพio เฟคนิว ม๊อบผีบ้า มาแทนที่,237,0,,,0
pantip,40,42111007,pantip_7585251,2023-07-10 09:21:37,การอ้าง 14 ล้านเสียง ว่าคือ ฉันทามติ ให้ส้ม แก้ ม.112 คือ การดูถูกเสียงประชาชน พรรค ส้ม เอาอะไรมายืนยันว่า 14 ล้านเสียง ต้องการให้ แก้ไขยกเลิก ม112. การดื้อดึง ที่จะแก้ ม112 มีแต่จะทำให้เกิดผลเสีย ทั้งต่อ สถาบันและประชาชน รวมทั้งระบบเศรษฐกิจ แต่ผลเสียทางการเมือง อย่างรุนแรงที่สุดจะเกิดแก่ พรรคส้ม และ ว่าที่ นายก เพราะ ประเด็น ม.112 จะทำให้ กลุ่มการเมืองหัวรุนแรงสุดโต่ง ดูมีอิทธิพลเหนือกว่า นายก รมต ครม จากการ ปั่นแฮชแท๊ค สร้างความเกลียดชัง ซึ่งได้ผลทางการเมืองทุกครั้ง มีกร ไม่มี ku 112 ไม่แก้ ไม่มี ku ทำให้ ว่าที่ นายก อาจจะต้อง เดินตาม ที่ปั่นกันจนไม่มีภาวะผู้นำ ถึงตอนนั้น ประชาชน คงสงสัยว่า นายก คนนี้จะนำชาติบ้านเมืองและคิดตัดสินใจด้วยตนเอง ได้หรือไม่ จะพา ชาติเจริญ หรือ พาชาติขัดแย้ง จะมีสติปัญญา ประเมินผลดีผลเสีย ได้เองหรือไม่ แก้ ม.112 แล้ว จะได้อะไร แก้ ม.112 แล้ว เสียอะไร ไม่แก้ ม.112 แล้ว ตนได้เป็น นายก ได้มีโอกาสบริหารประเทศ กับ ดื้อ จะแก้ ม.112 แล้ว อด เป็นนายก สว จะยกมือให้หรือไม่ คงขึ้นกับ สิ่งที่ นาย พ และ พรรค ได้ตัดสินใจ,949,3,,,0
pantip,41,42111007,pantip_6510864,2023-07-10 09:26:09,ประยุทธ ดูถูกประชาชนทั้งประเทศ ฉีกรัฐธรรมนูญทิ้งทั้งเล่มยังทำได้,64,5,,,0
pantip,42,42111007,pantip_7576977,2023-07-10 09:30:03,ตรรกะ แบบ คนไม่มีความรู้ ที่ พลเอกประยุทธ ทำได้ เพราะ เขามีกำลัง พิธา มีรึเปล่า,79,0,,,1
pantip,44,42111007,pantip_7576977,2023-07-10 14:49:59,ถูกต้อง จะบอกว่า ไม่จริงหรือ,28,0,,,1
pantip,48,42111007,pantip_7585251,2023-07-10 09:28:14,สวัสดีครับ ลุงจก เรื่อง ผัว เมีย ผมไม่ยุ่งคร้าบ ผมถาม ท่านเคนชิโร่ ให้แล้วนะครับ ยิง ชน หรือ ตกเอง อิอิ ท่านบอก ว่า,115,1,,,0
pantip,49,42111007,pantip_7576977,2023-07-10 09:31:52,ถามโง่ๆ ใครๆ ก็รู้ว่าเรื่องส่วนตัว ไม่ต้องรับผิดชอบ ต่อให้ ไม่มี 112 ก็ หาข้ออ้างอื่นได้นั้นแหละ มีปัญญาแค่ 3 ทู้ 10 บาท ก็คิดได้แค่เนี้ย,137,1,,,1
pantip,51,42111007,pantip_7576977,2023-07-10 11:21:26,งง ปัญญาอ่อน ไร้ สมองเท่านั้น ที่จะแก้ กฏหมายความมั่นคงของชาติ เพราะ เรื่องส่วนตัว คิดได้ไงวะ ไร้สมอง โดยสิ้นเชิง คงมีปัญญา แค่เนี้ย,132,2,,,1
