experiment,classifier,recall,precision,f1
1,NB,0.7010309278350515,0.6071428571428571,0.6507177033492823
1,RF,0.13402061855670103,0.5416666666666666,0.21487603305785125
1,SVM,0.16494845360824742,0.47058823529411764,0.24427480916030533
1,DNN,0.6701030927835051,0.5963302752293578,0.6310679611650486
1,DT,0.1958762886597938,0.475,0.2773722627737226
2,NB,0.9,0.5675675675675675,0.6961325966850829
2,RF,0.2,0.56,0.29473684210526313
2,SVM,0.34285714285714286,0.34285714285714286,0.34285714285714286
2,DNN,0.8428571428571429,0.5784313725490197,0.686046511627907
2,DT,0.21428571428571427,0.46875,0.29411764705882354
3,NB,0.926829268292683,0.5588235294117647,0.6972477064220184
3,RF,0.17073170731707318,0.3684210526315789,0.23333333333333334
3,SVM,0.12195121951219512,0.15151515151515152,0.13513513513513514
3,DNN,0.8780487804878049,0.5625,0.6857142857142857
3,DT,0.07317073170731707,0.2,0.10714285714285714
