politeness,structural,spearman_rho,p_value,abs_rho
pronouns_count,repetition_sum,0.536,3.1800082180833666e-22,0.536
pronouns_count,repetition_max,0.5052,1.5230396283715278e-19,0.5052
total_markers,repetition_sum,0.5002,3.9482460907777817e-19,0.5002
total_markers,length_std,0.4787,1.9225226293219874e-17,0.4787
total_markers,repetition_max,0.4732,4.9774236493288753e-17,0.4732
total_markers,length_sum,0.4708,7.456055674331209e-17,0.4708
particles_count,repetition_sum,0.4678,1.2487424935157065e-16,0.4678
pronouns_count,length_sum,0.4671,1.4011403957157747e-16,0.4671
particles_count,length_std,0.4598,4.711461857109602e-16,0.4598
particles_count,length_sum,0.4584,5.924297087878887e-16,0.4584
pronouns_count,repetition_std,0.4502,2.2221019562255435e-15,0.4502
pronouns_count,length_std,0.4439,5.973895208191183e-15,0.4439
pronouns_count,repetition_mean,0.4433,6.560206473270374e-15,0.4433
particles_count,repetition_max,0.4404,1.0390386381410424e-14,0.4404
total_markers,repetition_std,0.4377,1.5633989345409005e-14,0.4377
verbs_count,length_sum,0.4266,8.294788939110514e-14,0.4266
total_markers,punctuation_std,0.4181,2.837925161638934e-13,0.4181
total_markers,repetition_mean,0.4109,7.876145191422455e-13,0.4109
pronouns_count,punctuation_std,0.408,1.1666074574768999e-12,0.408
particles_count,repetition_std,0.408,1.1674693351733325e-12,0.408
pronouns_count,length_max,0.406,1.5496820757620013e-12,0.406
particles_count,punctuation_std,0.4018,2.7640370803587946e-12,0.4018
pronouns_count,punctuation_sum,0.3998,3.589441433555655e-12,0.3998
total_markers,length_max,0.3974,4.949105646181065e-12,0.3974
total_markers,punctuation_sum,0.3954,6.505665016640379e-12,0.3954
pronouns_count,punctuation_max,0.3945,7.268136325216174e-12,0.3945
verbs_count,length_std,0.3912,1.1231658622456977e-11,0.3912
total_markers,punctuation_max,0.389,1.492964726852989e-11,0.389
particles_count,length_max,0.3847,2.6131943614400273e-11,0.3847
particles_count,punctuation_sum,0.3826,3.402901291922399e-11,0.3826
particles_count,punctuation_max,0.3773,6.650959234297827e-11,0.3773
particles_count,repetition_mean,0.3771,6.868286188353798e-11,0.3771
pronouns_per_comment,repetition_sum,0.3758,8.036973874179468e-11,0.3758
verbs_count,length_max,0.3754,8.487943879096329e-11,0.3754
pronouns_per_comment,repetition_max,0.3647,3.1025096969451214e-10,0.3647
verbs_count,repetition_sum,0.3642,3.305420705518893e-10,0.3642
total_markers,punctuation_mean,0.3569,7.816360266401733e-10,0.3569
verbs_per_comment,length_sum,0.3541,1.0728690647119696e-09,0.3541
pronouns_count,punctuation_mean,0.353,1.2217147668204776e-09,0.353
particles_count,punctuation_mean,0.345,3.0318972121358184e-09,0.345
verbs_count,punctuation_std,0.3441,3.3601614780953324e-09,0.3441
verbs_count,repetition_max,0.3393,5.6644511177594116e-09,0.3393
verbs_count,punctuation_sum,0.3364,7.785301820027396e-09,0.3364
verbs_per_comment,length_std,0.3359,8.211521387050007e-09,0.3359
pronouns_count,length_mean,0.3347,9.376662505343549e-09,0.3347
