measure,sock_mean,nonsock_mean,u_stat,p_value,direction
total_markers,16.4714,52.4357,6387.0,4.4761690478420335e-07,sock < non-sock
particles_count,14.1214,41.2071,6401.0,4.930621400651293e-07,sock < non-sock
pronouns_count,1.9786,9.9286,6946.5,2.4367092366954792e-06,sock < non-sock
verbs_count,0.3714,1.3,7685.5,3.621886816463855e-05,sock < non-sock
verbs_per_comment,0.0274,0.0537,7867.0,0.00016231511535329742,sock < non-sock
pronouns_per_comment,0.3073,0.2773,7668.5,0.00043303486131725276,sock > non-sock
markers_per_1k_chars,11.9002,10.3642,10601.5,0.2369041040111287,sock > non-sock
markers_per_comment,2.0946,2.1615,9045.0,0.2648848299970834,sock < non-sock
particles_per_comment,1.7599,1.8305,9255.0,0.4209252457570102,sock < non-sock
has_any_marker,0.9143,0.9071,9870.0,0.8354586335532024,sock > non-sock
