experiment,config,NB,RF,SVM,DNN,DT
1,full,0.6507,0.2149,0.2443,0.5946,0.1719
1,drop_coord-dim,0.6162,0.2581,0.2443,0.5604,0.2481
1,drop_algo-dim,0.628,0.2149,0.2443,0.5714,0.2481
1,drop_composite,0.6476,0.254,0.2464,0.573,0.2446
1,drop_engagement,0.3043,0.2901,0.2353,0.6096,0.2857
1,drop_temporal,0.6348,0.2707,0.604,0.601,0.2958
1,drop_coord_all,0.2462,0.6348,0.6527,0.6124,0.6798
2,full,0.6961,0.3125,0.3429,0.6883,0.2449
2,drop_coord-dim,0.6966,0.3093,0.3429,0.6875,0.3238
2,drop_algo-dim,0.7151,0.3636,0.3429,0.6786,0.2737
2,drop_composite,0.7039,0.3093,0.0,0.6994,0.2718
2,drop_engagement,0.354,0.3636,0.3571,0.6709,0.2308
2,drop_temporal,0.6882,0.2626,0.6826,0.6625,0.2316
2,drop_coord_all,0.2424,0.6784,0.6923,0.6629,0.6667
3,full,0.6972,0.2456,0.1351,0.7292,0.1481
3,drop_coord-dim,0.717,0.1818,0.1351,0.7292,0.1481
3,drop_algo-dim,0.6972,0.2712,0.274,0.7158,0.2951
3,drop_composite,0.6972,0.2034,0.1842,0.7234,0.1455
3,drop_engagement,0.3188,0.2034,0.2278,0.7216,0.2034
3,drop_temporal,0.6909,0.1154,0.7071,0.6598,0.0385
3,drop_coord_all,0.3175,0.6526,0.6535,0.6857,0.64
