experiment,config,n_features,classifier,recall,precision,f1
1,full,62,NB,0.7010309278350515,0.6071428571428571,0.6507177033492823
1,full,62,RF,0.13402061855670103,0.5416666666666666,0.21487603305785125
1,full,62,SVM,0.16494845360824742,0.47058823529411764,0.24427480916030533
1,full,62,DNN,0.5670103092783505,0.625,0.5945945945945946
1,full,62,DT,0.1134020618556701,0.3548387096774194,0.171875
1,drop_temp,59,NB,0.7525773195876289,0.5488721804511278,0.6347826086956522
1,drop_temp,59,RF,0.18556701030927836,0.5,0.2706766917293233
1,drop_temp,59,SVM,0.6288659793814433,0.580952380952381,0.6039603960396039
1,drop_temp,59,DNN,0.6288659793814433,0.5754716981132075,0.6009852216748769
1,drop_temp,59,DT,0.21649484536082475,0.4666666666666667,0.29577464788732394
1,full_logtmp,62,NB,0.7525773195876289,0.5572519083969466,0.6403508771929824
1,full_logtmp,62,RF,0.1134020618556701,0.5,0.18487394957983194
1,full_logtmp,62,SVM,0.6907216494845361,0.6203703703703703,0.6536585365853659
1,full_logtmp,62,DNN,0.5463917525773195,0.6309523809523809,0.585635359116022
1,full_logtmp,62,DT,0.10309278350515463,0.35714285714285715,0.16
1,drop_coord_all,40,NB,0.16494845360824742,0.48484848484848486,0.24615384615384617
1,drop_coord_all,40,RF,0.7525773195876289,0.5488721804511278,0.6347826086956522
1,drop_coord_all,40,SVM,0.8041237113402062,0.5492957746478874,0.6527196652719666
1,drop_coord_all,40,DNN,0.6597938144329897,0.5714285714285714,0.6124401913875598
1,drop_coord_all,40,DT,0.8865979381443299,0.5512820512820513,0.6798418972332015
2,full,62,NB,0.9,0.5675675675675675,0.6961325966850829
2,full,62,RF,0.21428571428571427,0.5769230769230769,0.3125
2,full,62,SVM,0.34285714285714286,0.34285714285714286,0.34285714285714286
2,full,62,DNN,0.7571428571428571,0.6309523809523809,0.6883116883116883
2,full,62,DT,0.17142857142857143,0.42857142857142855,0.24489795918367346
2,drop_temp,59,NB,0.9142857142857143,0.5517241379310345,0.6881720430107527
2,drop_temp,59,RF,0.18571428571428572,0.4482758620689655,0.26262626262626265
2,drop_temp,59,SVM,0.8142857142857143,0.5876288659793815,0.6826347305389222
2,drop_temp,59,DNN,0.7571428571428571,0.5888888888888889,0.6625
2,drop_temp,59,DT,0.15714285714285714,0.44,0.23157894736842105
2,full_logtmp,62,NB,0.9285714285714286,0.5416666666666666,0.6842105263157895
2,full_logtmp,62,RF,0.21428571428571427,0.6,0.3157894736842105
2,full_logtmp,62,SVM,0.8285714285714286,0.6304347826086957,0.7160493827160493
2,full_logtmp,62,DNN,0.7428571428571429,0.65,0.6933333333333334
2,full_logtmp,62,DT,0.17142857142857143,0.42857142857142855,0.24489795918367346
2,drop_coord_all,40,NB,0.17142857142857143,0.41379310344827586,0.24242424242424243
2,drop_coord_all,40,RF,0.8285714285714286,0.5742574257425742,0.6783625730994152
2,drop_coord_all,40,SVM,0.9,0.5625,0.6923076923076923
2,drop_coord_all,40,DNN,0.8428571428571429,0.5462962962962963,0.6629213483146067
2,drop_coord_all,40,DT,0.8,0.5714285714285714,0.6666666666666666
3,full,62,NB,0.926829268292683,0.5588235294117647,0.6972477064220184
3,full,62,RF,0.17073170731707318,0.4375,0.24561403508771928
3,full,62,SVM,0.12195121951219512,0.15151515151515152,0.13513513513513514
3,full,62,DNN,0.8536585365853658,0.6363636363636364,0.7291666666666666
3,full,62,DT,0.0975609756097561,0.3076923076923077,0.14814814814814814
3,drop_temp,59,NB,0.926829268292683,0.5507246376811594,0.6909090909090909
3,drop_temp,59,RF,0.07317073170731707,0.2727272727272727,0.11538461538461539
3,drop_temp,59,SVM,0.8536585365853658,0.603448275862069,0.7070707070707071
3,drop_temp,59,DNN,0.7804878048780488,0.5714285714285714,0.6597938144329897
3,drop_temp,59,DT,0.024390243902439025,0.09090909090909091,0.038461538461538464
3,full_logtmp,62,NB,0.975609756097561,0.5633802816901409,0.7142857142857143
3,full_logtmp,62,RF,0.17073170731707318,0.4375,0.24561403508771928
3,full_logtmp,62,SVM,0.926829268292683,0.6440677966101694,0.76
3,full_logtmp,62,DNN,0.8536585365853658,0.6862745098039216,0.7608695652173914
3,full_logtmp,62,DT,0.0975609756097561,0.3076923076923077,0.14814814814814814
3,drop_coord_all,40,NB,0.24390243902439024,0.45454545454545453,0.31746031746031744
3,drop_coord_all,40,RF,0.7560975609756098,0.5740740740740741,0.6526315789473685
3,drop_coord_all,40,SVM,0.8048780487804879,0.55,0.6534653465346535
3,drop_coord_all,40,DNN,0.8780487804878049,0.5625,0.6857142857142857
3,drop_coord_all,40,DT,0.7804878048780488,0.5423728813559322,0.64
